Band,SZA,VZA,RAA,R_atm
B1,10,70,30,0.143
B1,10,70,40,0.141
B1,10,70,50,0.139
B1,10,70,60,0.137
B1,10,70,70,0.135
B1,10,70,80,0.133
B1,10,70,90,0.131
B1,10,70,100,0.129
B1,10,70,110,0.128
B1,10,70,120,0.126
B1,10,70,130,0.125
B1,10,70,140,0.124
B1,10,70,150,0.123
B1,10,70,160,0.123
B1,10,70,170,0.123
B1,10,70,180,0.122
B1,10,80,0,0.197
B1,10,80,10,0.197
B1,10,80,20,0.196
B1,10,80,30,0.195
B1,10,80,40,0.194
B1,10,80,50,0.192
B1,10,80,60,0.19
B1,10,80,70,0.188
B1,10,80,80,0.186
B1,10,80,90,0.184
B1,10,80,100,0.183
B1,10,80,110,0.182
B1,10,80,120,0.181
B1,10,80,130,0.18
B1,10,80,140,0.18
B1,10,80,150,0.18
B1,10,80,160,0.179
B1,10,80,170,0.179
B1,10,80,180,0.179
B1,20,0,0,0.091
B1,20,0,10,0.091
B1,20,0,20,0.091
B1,20,0,30,0.091
B1,20,0,40,0.091
B1,20,0,50,0.091
B1,20,0,60,0.091
B1,20,0,70,0.091
B1,20,0,80,0.091
B1,20,0,90,0.091
B1,20,0,100,0.091
B1,20,0,110,0.091
B1,20,0,120,0.091
B1,20,0,130,0.091
B1,20,0,140,0.091
B1,20,0,150,0.091
B1,20,0,160,0.091
B1,20,0,170,0.091
B1,20,0,180,0.091
B1,20,10,0,0.096
B1,20,10,10,0.096
B1,20,10,20,0.096
B1,20,10,30,0.095
B1,20,10,40,0.095
B1,20,10,50,0.094
B1,20,10,60,0.093
B1,20,10,70,0.093
B1,20,10,80,0.092
B1,20,10,90,0.091
B1,20,10,100,0.09
B1,20,10,110,0.089
B1,20,10,120,0.088
B1,20,10,130,0.088
B1,20,10,140,0.087
B1,20,10,150,0.087
B1,20,10,160,0.086
B1,20,10,170,0.086
B1,20,10,180,0.086
B1,20,20,0,0.102
B1,20,20,10,0.101
B1,20,20,20,0.101
B1,20,20,30,0.1
B1,20,20,40,0.099
B1,20,20,50,0.098
B1,20,20,60,0.096
B1,20,20,70,0.095
B1,20,20,80,0.093
B1,20,20,90,0.091
B1,20,20,100,0.09
B1,20,20,110,0.088
B1,20,20,120,0.086
B1,20,20,130,0.085
B1,20,20,140,0.084
B1,20,20,150,0.083
B1,20,20,160,0.083
B1,20,20,170,0.082
B1,20,20,180,0.082
B1,20,30,0,0.108
B1,20,30,10,0.108
B1,20,30,20,0.107
B1,20,30,30,0.106
B1,20,30,40,0.104
B1,20,30,50,0.102
B1,20,30,60,0.1
B1,20,30,70,0.097
B1,20,30,80,0.095
B1,20,30,90,0.092
B1,20,30,100,0.09
B1,20,30,110,0.088
B1,20,30,120,0.086
